ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topic
1,Two Sum,50%,Easy,5,https://leetcode.com/problems/two-sum/,Array
2,Add Two Numbers,42%,Medium,3,https://leetcode.com/problems/add-two-numbers/,Linked List
3,Longest Substring Without Repeating Characters,35%,Medium,4,https://leetcode.com/problems/longest-substring-without-repeating-characters/,String
4,Median of Two Sorted Arrays,25%,Hard,2,https://leetcode.com/problems/median-of-two-sorted-arrays/,Array
5,Longest Palindromic Substring,33%,Medium,3,https://leetcode.com/problems/longest-palindromic-substring/,String
6,ZigZag Conversion,45%,Medium,2,https://leetcode.com/problems/zigzag-conversion/,String
7,Reverse Integer,30%,Medium,3,https://leetcode.com/problems/reverse-integer/,Math
8,String to Integer (atoi),16%,Medium,3,https://leetcode.com/problems/string-to-integer-atoi/,String
9,Palindrome Number,52%,Easy,2,https://leetcode.com/problems/palindrome-number/,Math
10,Regular Expression Matching,28%,Hard,3,https://leetcode.com/problems/regular-expression-matching/,Dynamic Programming
11,Container With Most Water,55%,Medium,4,https://leetcode.com/problems/container-with-most-water/,Array
12,Integer to Roman,60%,Medium,2,https://leetcode.com/problems/integer-to-roman/,Math
13,Roman to Integer,58%,Easy,4,https://leetcode.com/problems/roman-to-integer/,Math
14,Longest Common Prefix,40%,Easy,2,https://leetcode.com/problems/longest-common-prefix/,String
15,3Sum,33%,Medium,5,https://leetcode.com/problems/3sum/,Array
16,3Sum Closest,45%,Medium,2,https://leetcode.com/problems/3sum-closest/,Array
17,Letter Combinations of a Phone Number,55%,Medium,4,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Backtracking
18,4Sum,35%,Medium,2,https://leetcode.com/problems/4sum/,Array
19,Remove Nth Node From End of List,40%,Medium,3,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Linked List
20,Valid Parentheses,42%,Easy,5,https://leetcode.com/problems/valid-parentheses/,Stack
21,Merge Two Sorted Lists,62%,Easy,4,https://leetcode.com/problems/merge-two-sorted-lists/,Linked List
22,Generate Parentheses,70%,Medium,4,https://leetcode.com/problems/generate-parentheses/,Backtracking
23,Merge k Sorted Lists,48%,Hard,5,https://leetcode.com/problems/merge-k-sorted-lists/,Heap
24,Swap Nodes in Pairs,60%,Medium,3,https://leetcode.com/problems/swap-nodes-in-pairs/,Linked List
25,Reverse Nodes in k-Group,54%,Hard,4,https://leetcode.com/problems/reverse-nodes-in-k-group/,Linked List
26,Remove Duplicates from Sorted Array,48%,Easy,2,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Array
27,Remove Element,55%,Easy,1,https://leetcode.com/problems/remove-element/,Array
28,Find the Index of the First Occurrence in a String,39%,Easy,2,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,String
29,Divide Two Integers,17%,Medium,2,https://leetcode.com/problems/divide-two-integers/,Math
30,Substring with Concatenation of All Words,28%,Hard,2,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,String
31,Next Permutation,36%,Medium,3,https://leetcode.com/problems/next-permutation/,Array
32,Longest Valid Parentheses,32%,Hard,4,https://leetcode.com/problems/longest-valid-parentheses/,Dynamic Programming
33,Search in Rotated Sorted Array,38%,Medium,5,https://leetcode.com/problems/search-in-rotated-sorted-array/,Binary Search
34,Find First and Last Position of Element in Sorted Array,41%,Medium,3,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Binary Search
35,Search Insert Position,43%,Easy,2,https://leetcode.com/problems/search-insert-position/,Binary Search
36,Valid Sudoku,55%,Medium,3,https://leetcode.com/problems/valid-sudoku/,Hash Table
37,Sudoku Solver,54%,Hard,3,https://leetcode.com/problems/sudoku-solver/,Backtracking
38,Count and Say,49%,Medium,1,https://leetcode.com/problems/count-and-say/,String
39,Combination Sum,66%,Medium,3,https://leetcode.com/problems/combination-sum/,Backtracking
